location_id,borough,zone,count
265,Unknown,NA,78313
61,Brooklyn,Crown Heights North,46425
76,Brooklyn,East New York,39795
37,Brooklyn,Bushwick South,31125
42,Manhattan,Central Harlem North,30354
244,Manhattan,Washington Heights South,27352
17,Brooklyn,Bedford,26293
225,Brooklyn,Stuyvesant Heights,26187
89,Brooklyn,Flatbush/Ditmas Park,26014
39,Brooklyn,Canarsie,25949
188,Brooklyn,Prospect-Lefferts Gardens,25656
35,Brooklyn,Brownsville,23693
74,Manhattan,East Harlem North,23473
132,Queens,JFK Airport,23051
75,Manhattan,East Harlem South,21822
7,Queens,Astoria,21612
168,Bronx,Mott Haven/Port Morris,21254
82,Queens,Elmhurst,19635
181,Brooklyn,Park Slope,19403
72,Brooklyn,East Flatbush/Remsen Village,19393
